Timestamp,Chord
0.0,C
1.5,G
3.0,Am
4.5,F
6.0,C
7.5,F
9.0,G
10.5,Am
12.0,C
13.5,C
15.0,Dm
16.5,G
18.0,C
19.5,G
21.0,Dm
22.5,C
24.0,F
25.5,G
27.0,C
28.5,C
30.0,G
31.5,C
33.0,Unknown
34.5,G
36.0,C
37.5,Unknown
39.0,C
40.5,C
42.0,Am
43.5,G
45.0,C
46.5,G
48.0,C
49.5,G
51.0,C
52.5,C
54.0,Dm
55.5,Eb
57.0,G
58.5,C
60.0,F
61.5,Eb
63.0,G
64.5,Em
66.0,G
67.5,C
69.0,F
70.5,G
72.0,C
73.5,C
75.0,Eb
76.5,G
78.0,C
79.5,Ab
81.0,Eb
82.5,G
84.0,C
85.5,Ab
87.0,G
88.5,C
90.0,C
91.5,F
93.0,C
94.5,F
96.0,Unknown
97.5,C
99.0,F
100.5,Unknown
102.0,C
